,0,1,2
0,latitude,longitude,data origin
1,45.69093977037228,-122.66328245991505,originalIndex0
2,45.69093986984494,-122.66328245313981,originalIndex1
3,45.690946085388546,-122.66328202978933,originalIndex2
4,45.690956799999995,-122.6632813,interpolated0
5,45.690956799999995,-122.6632813,interpolated1
6,45.6910422,-122.6632819,interpolated2
7,45.6910544464424,-122.66328567771087,originalIndex3
8,45.6911307,-122.6633092,interpolated3
9,45.691204299999995,-122.6633452,interpolated4
10,45.6912869,-122.6633911,interpolated5
11,45.69130321276857,-122.663404873728,originalIndex4
12,45.69157167782641,-122.6636840474361,originalIndex5
13,45.691644,-122.66377039999999,interpolated6
14,45.691644,-122.66377039999999,interpolated7
15,45.691876681929166,-122.66403177253038,originalIndex6
16,45.6919465,-122.6641102,interpolated8
17,45.692049999999995,-122.6641966,interpolated9
18,45.69209419999999,-122.66422399999999,interpolated10
19,45.69214959999999,-122.6642533,interpolated11
20,45.69224270385271,-122.66427195184798,originalIndex7
21,45.69226940000001,-122.6642773,interpolated12
22,45.69226940000001,-122.6642773,interpolated13
23,45.69258828332558,-122.66429833579927,originalIndex8
24,45.692779555353944,-122.66431095357017,originalIndex9
25,45.69292403245989,-122.6642255646929,originalIndex10
26,45.69292397790873,-122.66422397644071,originalIndex11
27,45.69291859682966,-122.6640673099774,originalIndex12
28,45.692917699999995,-122.6640412,interpolated14
29,45.692909199999995,-122.66371579999999,interpolated15
30,45.6929084026321,-122.66364710938159,originalIndex13
