,tripID,OPD_DATE,vehicleID,distance,ACT_TIME,origLongitude,origLatitude,TIMESTAMP,correctedLatitude,correctedLongitude
143,152570206,02-MAR-20,1776,12674,21918,-122.6635,45.690946999999994,02-MAR-2021918,45.66162513689593,-122.66646636341666
144,152570206,02-MAR-20,1776,12674,21919,-122.66349699999999,45.690946999999994,02-MAR-2021919,45.66047499609997,-122.6659950706849
145,152570206,02-MAR-20,1776,12679,21923,-122.66346000000001,45.690952,02-MAR-2021923,45.65929742541857,-122.66553220491053
146,152570206,02-MAR-20,1776,12698,21928,-122.66328200000001,45.691055,02-MAR-2021928,45.658113423234624,-122.66505543186881
147,152570206,02-MAR-20,1776,12728,21933,-122.663335,45.691332,02-MAR-2021933,45.656960785467604,-122.66458760490971
148,152570206,02-MAR-20,1776,12767,21938,-122.663632,45.691602,02-MAR-2021938,45.65582214688438,-122.66413138778493
149,152570206,02-MAR-20,1776,12810,21943,-122.664002,45.691893,02-MAR-2021943,45.65470365076582,-122.66369660950808
150,152570206,02-MAR-20,1776,12851,21948,-122.66422800000001,45.692246999999995,02-MAR-2021948,45.65360484043212,-122.66324865722534
151,152570206,02-MAR-20,1776,12888,21953,-122.664245,45.69259,02-MAR-2021953,45.65251878735086,-122.66280592366893
152,152570206,02-MAR-20,1776,12906,21958,-122.664235,45.692782,02-MAR-2021958,45.65147619773472,-122.66238092496425
153,152570206,02-MAR-20,1776,12906,21959,-122.664235,45.69279,02-MAR-2021959,45.65047858761419,-122.66200007875895
154,152570206,02-MAR-20,1776,12906,21960,-122.664235,45.692792,02-MAR-2021960,45.64854921509206,-122.66184033375902
155,152570206,02-MAR-20,1776,12910,21963,-122.66423200000001,45.692809999999994,02-MAR-2021963,45.647624699243295,-122.66185498526582
156,152570206,02-MAR-20,1776,12929,21968,-122.66406699999999,45.692923,02-MAR-2021968,45.646684551199584,-122.6618702799748
157,152570206,02-MAR-20,1776,12966,21973,-122.663647,45.692913,02-MAR-2021973,45.645744545871516,-122.66188665407569
158,152570206,02-MAR-20,1776,13012,21977,-122.663048,45.692888,02-MAR-2021977,45.6448647997971,-122.66191082040784
159,152570206,02-MAR-20,1776,13053,21982,-122.662503,45.692842999999996,02-MAR-2021982,45.64404498868671,-122.66196004408665
160,152570206,02-MAR-20,1776,13083,21987,-122.662123,45.69275,02-MAR-2021987,45.64326265703659,-122.66196745694843
161,152570206,02-MAR-20,1776,13118,21992,-122.662075,45.692446999999994,02-MAR-2021992,45.64248661109684,-122.6619912000243
162,152570206,02-MAR-20,1776,13167,21997,-122.662273,45.692052000000004,02-MAR-2021997,45.64165692504998,-122.66200579048233
163,152570206,02-MAR-20,1776,13225,22002,-122.66249199999999,45.691559999999996,02-MAR-2022002,45.64080188846815,-122.66201387871246
164,152570206,02-MAR-20,1776,13293,22007,-122.662742,45.690988,02-MAR-2022007,45.639916655074614,-122.66202882318076
165,152570206,02-MAR-20,1776,13371,22012,-122.66303500000001,45.690325,02-MAR-2022012,45.63900964398852,-122.66203644625476
166,152570206,02-MAR-20,1776,13459,22017,-122.66338700000001,45.689582,02-MAR-2022017,45.63808477377995,-122.66208574755466
167,152570206,02-MAR-20,1776,13555,22022,-122.663758,45.688765000000004,02-MAR-2022022,45.63715485329073,-122.66216720867536
168,152570206,02-MAR-20,1776,13658,22027,-122.66408,45.687872999999996,02-MAR-2022027,45.6362353757081,-122.6624308825632
169,152570206,02-MAR-20,1776,13767,22032,-122.664372,45.686917,02-MAR-2022032,45.63536272818635,-122.66281730054489
170,152570206,02-MAR-20,1776,13881,22037,-122.66460500000001,45.685902,02-MAR-2022037,45.63456605350566,-122.66328509585853
171,152570206,02-MAR-20,1776,13989,22042,-122.664748,45.684828,02-MAR-2022042,45.63380992552309,-122.66374254970125
172,152570206,02-MAR-20,1776,14114,22047,-122.664782,45.683703,02-MAR-2022047,45.63304390820466,-122.66419973484034
173,152570206,02-MAR-20,1776,14244,22052,-122.664778,45.682533,02-MAR-2022052,45.63228868409645,-122.66464852175955
174,152570206,02-MAR-20,1776,14390,22057,-122.66476200000001,45.681332,02-MAR-2022057,45.63153241561682,-122.66510660269917
175,152570206,02-MAR-20,1776,14522,22062,-122.664753,45.680137,02-MAR-2022062,45.63075399692851,-122.66557849406739
176,152570206,02-MAR-20,1776,14640,22067,-122.66473799999999,45.67896,02-MAR-2022067,45.629916874174214,-122.66608879126159
177,152570206,02-MAR-20,1776,14785,22072,-122.664727,45.677766999999996,02-MAR-2022072,45.62905385497978,-122.66662906115019
178,152570206,02-MAR-20,1776,14922,22077,-122.66471299999999,45.67654,02-MAR-2022077,45.62817802644719,-122.6671434480521
179,152570206,02-MAR-20,1776,15044,22082,-122.664702,45.675312,02-MAR-2022082,45.62730682377658,-122.66765898629205
180,152570206,02-MAR-20,1776,15177,22087,-122.66468799999998,45.674103,02-MAR-2022087,45.62644060857951,-122.6681902710265
181,152570206,02-MAR-20,1776,15304,22092,-122.66468,45.672958,02-MAR-2022092,45.625621097701895,-122.6688045430385
182,152570206,02-MAR-20,1776,15425,22097,-122.66478500000001,45.671865000000004,02-MAR-2022097,45.62487546517349,-122.66950981789513
183,152570206,02-MAR-20,1776,15549,22102,-122.665123,45.670777,02-MAR-2022102,45.624178595450154,-122.67031152585122
184,152570206,02-MAR-20,1776,15677,22107,-122.665675,45.669686999999996,02-MAR-2022107,45.62355238696295,-122.67116334758771
185,152570206,02-MAR-20,1776,15806,22112,-122.666278,45.668597,02-MAR-2022112,45.6230179959598,-122.67190600621899
